timestamp, input_file_or_table, output_file_or_table, action_description, performed_by
2026-04-09T15:10:06.072206+00:00,SilverLayerData/2019/header2019.csv and SilverLayerData/2019/consignee2019.csv,StagingTable/headerConsigneeStaging2019.csv,Created staging table by merging header and consignee tables on identifier column,Denny Ye
2026-04-09T15:10:19.990367+00:00,SilverLayerData/2020/header2020.csv and SilverLayerData/2020/consignee2020.csv,StagingTable/headerConsigneeStaging2020.csv,Created staging table by merging header and consignee tables on identifier column,Denny Ye
2026-04-09T15:14:44.386034+00:00,StagingTable/headerConsigneeStaging2019.csv,SilverLayerData/2019/consignee2019.csv,Built consignee table from staging table,Denny Ye
2026-04-09T15:15:21.246971+00:00,StagingTable/headerConsigneeStaging2020.csv,SilverLayerData/2019/consignee2020.csv,Built consignee table from staging table,Denny Ye
2026-04-09T15:17:30.829962+00:00,StagingTable/headerConsigneeStaging2019.csv,SilverLayerData/2019/consignee2019.csv,Built consignee table from staging table,Denny Ye
2026-04-09T15:18:08.228891+00:00,StagingTable/headerConsigneeStaging2020.csv,SilverLayerData/2019/consignee2020.csv,Built consignee table from staging table,Denny Ye
2026-04-09T15:24:40.523618+00:00,StagingTable/headerConsigneeStaging2019.csv and SilverLayerData/2019/consignee2019.csv,LookupTable/consigneeLookup2019.csv,Created consignee lookup table,Denny Ye
2026-04-09T15:25:31.856611+00:00,StagingTable/headerConsigneeStaging2020.csv and SilverLayerData/2020/consignee2020.csv,LookupTable/consigneeLookup2020.csv,Created consignee lookup table,Denny Ye
2026-04-09T15:32:05.816929+00:00,SilverLayerData/2019/header2019.csv and LookupTable/consigneeLookup2019.csv,SilverLayerData/2019/header2019.csv,Added consignee_id to header table,Denny Ye
2026-04-09T15:33:32.880897+00:00,SilverLayerData/2020/header2020.csv and LookupTable/consigneeLookup2020.csv,SilverLayerData/2020/header2020.csv,Added consignee_id to header table,Denny Ye
2026-04-09T21:55:57.965734+00:00,SilverLayerData/header*.csv,GoldLayerData/header*csv,Combine the Header tables from both years and add to Gold Layer Folder,Denny Ye
